,Samp 1,Samp 2,Samp 3,Samp 4,Samp 5,Samp 6,Samp 7,Samp 8,Samp 9,Samp 10
Samp 1,1,0.989,0.96,0.96,0.96,0.96,0.958,0.958,0.958,0.958
Samp 2,0.989,1,0.986,0.985,0.986,0.986,0.988,0.988,0.988,0.988
Samp 3,0.96,0.986,1,1,1,1,0.998,0.998,0.998,0.998
Samp 4,0.96,0.985,1,1,1,1,0.998,0.998,0.998,0.998
Samp 5,0.96,0.986,1,1,1,1,0.998,0.998,0.998,0.998
Samp 6,0.96,0.986,1,1,1,1,0.998,0.998,0.998,0.998
Samp 7,0.958,0.988,0.998,0.998,0.998,0.998,1,1,1,1
Samp 8,0.958,0.988,0.998,0.998,0.998,0.998,1,1,1,1
Samp 9,0.958,0.988,0.998,0.998,0.998,0.998,1,1,1,1
Samp 10,0.958,0.988,0.998,0.998,0.998,0.998,1,1,1,1
