Accession,Genus,Species,Age,Humerus,Radius,Ulna,Institution
AV19569,Aptenodytes,forsteri,Extant,Right,Left,Right,CM
2013-1-257,Aptenodytes,patagonicus,Extant,Left,Right,Right,CM
OR.019303,Eudyptes,filholi,Extant,Right,Right,Right,NMNZ
OR.017176,Eudyptes,pachyrhynchus,Extant,Right,Left,Left,NMNZ
OR.030196,Eudyptes,robustus,Extant,Right,Right,Right,NMNZ
OR.027787,Eudyptes,schlegeli,Extant,Right,Right,Right,NMNZ
OR.025560,Eudyptes,sclateri,Extant,Right,Right,Right,NMNZ
OR.018965,Eudyptula,minor,Extant,Left,Left,Left,NMNZ
OR.026794,Megadyptes,antipodes,Extant,Right,Right,Right,NMNZ
AV38751,Pygoscelis,adeliae,Extant,Left,Left,Left,CM
AV32995,Pygoscelis,antarctica,Extant,Right,Right,Right,CM
AV38694,Pygoscelis,papua,Extant,Right,Right,Right,CM
OR.022800,Spheniscus,demersus,Extant,Right,Right,Right,NMNZ
CU2138,Spheniscus,humboldti,Extant,Right,Right,Right,UC
OR.027329,Spheniscus,magellanicus,Extant,Right,Right,Right,NMNZ
OR.01451,Platydyptes,novaezeelandiae,27.3-21.7 Ma,Left,Right,Left,NMNZ
GL407,Archaeospheniscus,lowei,29.8-25.2 Ma,Right,Right,Right,OM
OU22065,Kairuku,grebneffi,29.8-25.20 Ma,Right,Right,Right,OU
1/06/2016,Sequiwaimanu,rosieae,61 Ma,Left,Left,Right,CM
OU12651,Muriwaimanu,tuatahi,61.3-56.0 Ma,Right,Left,Left,OU
